"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Mar 31 11:05:35 CST 2022","Thu Mar 31 11:05:36 CST 2022","438","testcase","test_02_recog","Test_Recog","","","test_recog_success[http://192.168.1.45:94/EpicardCloudPlat_shandong/home/childinfo-data0]",""
"passed","Thu Mar 31 11:05:35 CST 2022","Thu Mar 31 11:05:35 CST 2022","16","testcase","test_01_login","Test_Login","","","test_login_error[http://192.168.1.45:94/EpicardCloudPlat_shandong/Account/Login-data0]",""
"passed","Thu Mar 31 11:05:35 CST 2022","Thu Mar 31 11:05:35 CST 2022","47","testcase","test_01_login","Test_Login","","","test_login_illegal[http://192.168.1.45:94/EpicardCloudPlat_shandong/Account/Login-data0]",""
"passed","Thu Mar 31 11:05:44 CST 2022","Thu Mar 31 11:05:44 CST 2022","515","testcase","test_06_register","Test_Register","","","test_register_success[http://192.168.1.45:94/EpicardCloudPlat_shandong/appshot/shotinfo-data0]",""
"passed","Thu Mar 31 11:05:39 CST 2022","Thu Mar 31 11:05:39 CST 2022","344","testcase","test_04_health","Test_Health","","","test_health_success[http://192.168.1.45:94/EpicardCloudPlat_shandong/HealthStatus/save-data0-370102010200000035]",""
"passed","Thu Mar 31 11:05:37 CST 2022","Thu Mar 31 11:05:37 CST 2022","547","testcase","test_03_record","Test_Record","","","test_record_success[http://192.168.1.45:94/EpicardCloudPlat_shandong/app/childinfo-data0-headers0]",""
"passed","Thu Mar 31 11:05:33 CST 2022","Thu Mar 31 11:05:34 CST 2022","1092","testcase","test_01_login","Test_Login","","","test_login_success[http://192.168.1.45:94/EpicardCloudPlat_shandong/Account/Login-data0]",""
"passed","Thu Mar 31 11:05:41 CST 2022","Thu Mar 31 11:05:42 CST 2022","1796","testcase","test_05_sign","Test_Sign","","","test_sign_success[http://192.168.1.45:94/EpicardCloudPlat_shandong-data_start0-data_get0-data_saveTmp0-data_issign0-data_save0-files0]",""
"failed","Thu Mar 31 11:05:45 CST 2022","Thu Mar 31 11:05:45 CST 2022","422","testcase","test_07_scan","Test_Scan","","","test_scan_success[http://192.168.1.45:94/EpicardCloudPlat_shandong/appmontior/qrcodeProduct/88888888888888888888-data0]",""
